Source	Scale	Class	Precision	Recall_Sensitivity	Specificity	F1	Support
GOLD	medium	ENVO:01001125	1.0	1.0	1.0	1.0	2
GOLD	medium	ENVO:01001189	1.0	1.0	1.0	1.0	1
GOLD	medium	ENVO:01001206	0.0	0.0	0.9964285714285714	0.0	0
GOLD	medium	ENVO:01001397	0.5	1.0	0.99880810488677	0.6666666666666666	1
GOLD	medium	ENVO:01001616	0.0	0.0	0.9988095238095238	0.0	0
GOLD	medium	ENVO:01001638	1.0	0.6666666666666666	1.0	0.8	3
GOLD	medium	ENVO:01001869	0.5714285714285714	0.8	0.9964071856287425	0.6666666666666666	5
GOLD	medium	ENVO:02000059	0.6666666666666666	0.5454545454545454	0.9963811821471653	0.6	11
GOLD	medium	ENVO:02000091	1.0	1.0	1.0	1.0	1
GOLD	medium	ENVO:02000140	0.0	0.0	0.9988095238095238	0.0	0
GOLD	medium	ENVO:03000033	0.7	0.7	0.9963855421686747	0.7	10
GOLD	medium	ENVO:03600065	0.0	0.0	0.9928571428571429	0.0	0
GOLD	medium	ENVO:04000007	0.9396551724137931	0.923728813559322	0.9903047091412742	0.9316239316239316	118
NMDC	broad_scale	ENVO:00000446	0.9740596627756161	0.9986702127659575	0.8876404494382022	0.9862114248194354	752
NMDC	broad_scale	ENVO:01000174	1.0	1.0	1.0	1.0	1
NMDC	broad_scale	ENVO:01000177	1.0	1.0	1.0	1.0	3
NMDC	broad_scale	ENVO:01000219	0.0	0.0	1.0	0.0	2
NMDC	broad_scale	ENVO:01000221	1.0	1.0	1.0	1.0	40
NMDC	broad_scale	ENVO:01000247	0.0	0.0	1.0	0.0	1
NMDC	broad_scale	ENVO:01000249	1.0	0.75	1.0	0.8571428571428571	4
NMDC	broad_scale	ENVO:01000252	1.0	0.90625	1.0	0.9508196721311475	32
NMDC	broad_scale	ENVO:01000253	0.75	0.84375	0.9792147806004619	0.7941176470588235	64
NMDC	broad_scale	ENVO:01001001	1.0	1.0	1.0	1.0	1
NMDC	broad_scale	ENVO:01001837	0.0	0.0	1.0	0.0	1
NMDC	broad_scale	ENVO:03605008	0.9	0.3103448275862069	0.9988901220865705	0.46153846153846156	29
NMDC	local_scale	ENVO:00000011	0.12	0.1	0.9755555555555555	0.10909090909090909	30
NMDC	local_scale	ENVO:00000021	0.3333333333333333	0.75	0.9935205183585313	0.46153846153846156	4
NMDC	local_scale	ENVO:00000022	0.7096774193548387	0.5789473684210527	0.9899103139013453	0.6376811594202898	38
NMDC	local_scale	ENVO:00000083	0.0	0.0	1.0	0.0	1
NMDC	local_scale	ENVO:00000114	1.0	0.9761904761904762	1.0	0.9879518072289156	42
NMDC	local_scale	ENVO:00000148	0.2	0.1111111111111111	0.995656894679696	0.14285714285714285	9
NMDC	local_scale	ENVO:00000292	1.0	1.0	1.0	1.0	3
NMDC	local_scale	ENVO:00000305	0.0	0.0	1.0	0.0	1
NMDC	local_scale	ENVO:00000444	0.0	0.0	1.0	0.0	1
NMDC	local_scale	ENVO:00000469	1.0	1.0	1.0	1.0	3
NMDC	local_scale	ENVO:00000516	1.0	1.0	1.0	1.0	1
NMDC	local_scale	ENVO:00002000	0.0	0.0	0.9989247311827957	0.0	0
NMDC	local_scale	ENVO:00002130	0.0	0.0	1.0	0.0	1
NMDC	local_scale	ENVO:00002131	0.8	0.5333333333333333	0.9978142076502732	0.64	15
NMDC	local_scale	ENVO:00002132	0.0	0.0	0.9989247311827957	0.0	0
NMDC	local_scale	ENVO:00002269	0.0	0.0	0.9989235737351991	0.0	1
NMDC	local_scale	ENVO:00005801	0.0	0.0	0.9823204419889503	0.0	25
NMDC	local_scale	ENVO:01000219	0.0	0.0	1.0	0.0	1
NMDC	local_scale	ENVO:01000297	0.5	1.0	0.9978448275862069	0.6666666666666666	2
NMDC	local_scale	ENVO:01000409	0.6666666666666666	0.4	0.9989189189189189	0.5	5
NMDC	local_scale	ENVO:01000621	0.0	0.0	0.9989247311827957	0.0	0
NMDC	local_scale	ENVO:01000816	0.900709219858156	0.9548872180451128	0.9824341279799247	0.927007299270073	133
NMDC	local_scale	ENVO:01000843	0.9658536585365853	0.9949748743718593	0.9904240766073872	0.9801980198019802	199
NMDC	local_scale	ENVO:01000855	0.88	0.9565217391304348	0.9966923925027563	0.9166666666666666	23
NMDC	local_scale	ENVO:01000861	0.9285714285714286	1.0	0.9989094874591058	0.9629629629629629	13
NMDC	local_scale	ENVO:01000869	0.9787234042553191	0.9787234042553191	0.9976076555023924	0.9787234042553191	94
NMDC	local_scale	ENVO:01000887	1.0	1.0	1.0	1.0	16
NMDC	local_scale	ENVO:01000888	0.9913793103448276	1.0	0.9987730061349693	0.9956709956709957	115
NMDC	local_scale	ENVO:01000891	0.9285714285714286	1.0	0.9989094874591058	0.9629629629629629	13
NMDC	local_scale	ENVO:01000892	0.9629629629629629	1.0	0.9988938053097345	0.9811320754716981	26
NMDC	local_scale	ENVO:01000893	1.0	1.0	1.0	1.0	36
NMDC	local_scale	ENVO:01000894	1.0	1.0	1.0	1.0	4
NMDC	local_scale	ENVO:01001057	0.15384615384615385	0.2608695652173913	0.9636163175303197	0.1935483870967742	23
NMDC	local_scale	ENVO:01001191	0.8571428571428571	1.0	0.9989177489177489	0.9230769230769231	6
NMDC	local_scale	ENVO:01001206	1.0	1.0	1.0	1.0	1
NMDC	local_scale	ENVO:03600011	0.0	0.0	1.0	0.0	1
NMDC	local_scale	ENVO:03600018	0.0	0.0	0.9989247311827957	0.0	0
NMDC	local_scale	ENVO:03600094	0.0	0.0	0.9924324324324324	0.0	5
NMDC	local_scale	ENVO:03600095	0.23076923076923078	0.3333333333333333	0.98914223669924	0.2727272727272727	9
NMDC	local_scale	ENVO:03600096	0.0	0.0	0.9924650161463939	0.0	1
NMDC	local_scale	ENVO:03605007	0.75	0.20689655172413793	0.9977802441731409	0.32432432432432434	29
NMDC	medium	ENVO:00001998	0.9697841726618706	0.9656160458452722	0.9094827586206896	0.9676956209619526	698
NMDC	medium	ENVO:00002007	0.0	0.0	0.9923245614035088	0.0	18
NMDC	medium	ENVO:00002042	0.06666666666666667	0.05	0.9846153846153847	0.05714285714285714	20
NMDC	medium	ENVO:00002259	1.0	1.0	1.0	1.0	2
NMDC	medium	ENVO:00002261	1.0	0.5	1.0	0.6666666666666666	2
NMDC	medium	ENVO:00005749	1.0	1.0	1.0	1.0	40
NMDC	medium	ENVO:00005755	1.0	1.0	1.0	1.0	1
NMDC	medium	ENVO:00005761	0.0	0.0	1.0	0.0	1
NMDC	medium	ENVO:00005773	0.0	0.0	1.0	0.0	1
NMDC	medium	ENVO:00005781	0.0	0.0	0.9989247311827957	0.0	0
NMDC	medium	ENVO:00005791	0.75	1.0	0.9989212513484358	0.8571428571428571	3
NMDC	medium	ENVO:00005802	0.4	0.24242424242424243	0.9866220735785953	0.3018867924528302	33
NMDC	medium	ENVO:01000349	0.25806451612903225	0.6666666666666666	0.9492273730684326	0.37209302325581395	24
NMDC	medium	ENVO:01000599	0.6666666666666666	1.0	0.9989224137931034	0.8	2
NMDC	medium	ENVO:03605001	0.3333333333333333	0.46153846153846156	0.9869138495092693	0.3870967741935484	13
NMDC	medium	ENVO:03605002	0.0	0.0	0.9989247311827957	0.0	0
NMDC	medium	ENVO:03605003	0.0	0.0	1.0	0.0	2
NMDC	medium	ENVO:03605004	0.125	0.125	0.9924078091106291	0.125	8
NMDC	medium	ENVO:03605005	0.2	1.0	0.9956942949407965	0.3333333333333333	1
NMDC	medium	ENVO:03605006	0.7142857142857143	0.3448275862068966	0.9955604883462819	0.46511627906976744	29
NMDC	medium	ENVO:04000007	0.9696969696969697	1.0	0.9988864142538976	0.9846153846153847	32
NCBI-partial	broad_scale	ENVO:00000003	0.0	0.0	1.0	0.0	1
NCBI-partial	broad_scale	ENVO:00000009	0.0	0.0	0.9998633693127477	0.0	2
NCBI-partial	broad_scale	ENVO:00000011	0.0975609756097561	0.14814814814814814	0.9974680079381373	0.11764705882352941	27
NCBI-partial	broad_scale	ENVO:00000012	0.0	0.0	1.0	0.0	1
NCBI-partial	broad_scale	ENVO:00000013	0.0	0.0	0.999931693989071	0.0	0
NCBI-partial	broad_scale	ENVO:00000014	0.16666666666666666	0.125	0.999316192560175	0.14285714285714285	16
NCBI-partial	broad_scale	ENVO:00000015	0.9354838709677419	0.17791411042944785	0.9998618498307661	0.29896907216494845	163
NCBI-partial	broad_scale	ENVO:00000016	0.3333333333333333	0.0125	0.9997237569060774	0.024096385542168676	160
NCBI-partial	broad_scale	ENVO:00000019	0.078125	0.3125	0.9959655361050328	0.125	16
NCBI-partial	broad_scale	ENVO:00000020	0.6714285714285714	0.34558823529411764	0.9967984409799554	0.4563106796116505	272
NCBI-partial	broad_scale	ENVO:00000021	0.08823529411764706	0.03636363636363636	0.9957167530224525	0.05150214592274678	165
NCBI-partial	broad_scale	ENVO:00000022	0.4418604651162791	0.08837209302325581	0.9983362218370884	0.14728682170542637	215
NCBI-partial	broad_scale	ENVO:00000023	0.6190476190476191	0.23214285714285715	0.9994514536478333	0.33766233766233766	56
NCBI-partial	broad_scale	ENVO:00000025	0.0	0.0	0.9998633039436812	0.0	9
NCBI-partial	broad_scale	ENVO:00000027	0.125	0.3333333333333333	0.999043323766571	0.18181818181818182	6
NCBI-partial	broad_scale	ENVO:00000029	0.8074866310160428	0.3463302752293578	0.9974655026753028	0.48475120385232745	436
NCBI-partial	broad_scale	ENVO:00000032	0.0	0.0	1.0	0.0	9
NCBI-partial	broad_scale	ENVO:00000033	0.3333333333333333	0.043478260869565216	0.9995882231830348	0.07692307692307693	69
NCBI-partial	broad_scale	ENVO:00000035	0.6585365853658537	0.47368421052631576	0.9990399780566412	0.5510204081632653	57
NCBI-partial	broad_scale	ENVO:00000038	0.14285714285714285	0.11764705882352941	0.9991793749572591	0.12903225806451613	17
NCBI-partial	broad_scale	ENVO:00000039	0.009345794392523364	1.0	0.9927590682423663	0.018518518518518517	1
NCBI-partial	broad_scale	ENVO:00000043	0.18181818181818182	0.6666666666666666	0.9993851199016192	0.2857142857142857	3
NCBI-partial	broad_scale	ENVO:00000044	0.18518518518518517	0.25	0.9984952120383037	0.2127659574468085	20
