parent_term,count,label
ENVO:00000363,6,area designated as a nature reserve
ENVO:00002221,6,shop
ENVO:01001222,6,commercial building
ENVO:00002137,6,brackish estuary
ENVO:00000013,6,cave system
ENVO:00002209,6,saline lake sediment
ENVO:01000240,6,conifer woodland
ENVO:01001815,6,cell culturing
ENVO:01000949,6,lichen woodland
ENVO:00002872,6,bagasse
ENVO:01001267,6,stormwater
ENVO:01000312,6,culturing environment
ENVO:00000004,5,administrative region
ENVO:01001176,5,environment associated with an aquatic invertebrate
ENVO:2000002,5,industrial wastewate treatment plant
ENVO:00009004,5,obsolete insecta-associated habitat
ENVO:01000639,5,planetary structural layer
ENVO:01001431,5,land use process
ENVO:01001057,5,environment associated with a plant part or small plant
ENVO:01000640,5,planetary mantle
ENVO:01000406,5,snow
ENVO:00000183,5,stony desert
ENVO:00002185,5,oil reservoir
ENVO:01001456,4,tropical mountain
ENVO:01000867,4,solar panel array
ENVO:01000377,4,humid subtropical
ENVO:01001605,4,Aldabra Island Xeric Scrub Ecoregion
ENVO:01000604,4,vehicle
ENVO:00000373,4,obsolete geothermal field
ENVO:00002127,4,stream sediment
ENVO:01000189,4,temperate savanna biome
ENVO:01000285,4,holomictic lake
ENVO:01001870,3,gas well
ENVO:01000342,3,montane
ENVO:01001433,3,terrestrial mining
ENVO:00005790,3,red soil
ENVO:01001060,3,single strain cell culture
ENVO:00000110,3,lava tunnel
ENVO:03501370,3,stagnant water
ENVO:00000895,3,obsolete temperate shelf and sea biome
ENVO:03600021,3,tailings pond
ENVO:01000271,3,clastic sedimentary rock
ENVO:00000240,3,saline wetland
ENVO:00000219,3,landlocked sea
ENVO:00002243,3,histosol
ENVO:2000005,3,freshwater algal bloom
ENVO:00000050,3,geyser
ENVO:01001437,3,mining
ENVO:00005795,3,marine mud
ENVO:00005774,3,peat soil
ENVO:01000875,2,precipitation process
ENVO:01000941,2,planetary subsurface zone
ENVO:01000327,2,strand swamp
ENVO:01000830,2,water-based rainfall
ENVO:03000120,2,subglacial lake
ENVO:00002194,2,oil field production water
ENVO:00000351,2,volcanic arc
ENVO:00003885,2,brewery
ENVO:01000905,2,shrimp pond
ENVO:01000335,2,understory
