parent_term,count,label
BFO:0000146,25,two-dimensional continuant fiat boundary
FOODON:00002403,25,food material
ENVO:02000047,25,animal feed
ENVO:00000486,25,shoreline
BFO:0000140,25,continuant fiat boundary
BFO:0000141,25,immaterial entity
ENVO:00002035,24,meteorite
ENVO:01001641,24,glaciation
ENVO:01000641,24,planetary core
ENVO:01000205,24,subtropical
ENVO:01000378,24,arid subtropical
ENVO:00000180,24,mound
ENVO:03600087,24,greenhouse
ENVO:03605005,24,epixylon
ENVO:00002260,24,dune soil
ENVO:00002221,24,shop
ENVO:00000076,23,mine
ENVO:03501109,22,subway train
ENVO:03501108,22,passenger train
ENVO:03501107,22,train
ENVO:03000004,22,glacial ice
ENVO:03501326,22,bottle
ENVO:03605002,21,epipelon
ENVO:01001254,20,animal aquaculture process
ENVO:01000906,20,aquaculture process
ENVO:00005761,20,meadow soil
ENVO:03501302,20,cork
ENVO:00002273,20,fluvisol
ENVO:03000063,20,new ice
ENVO:03600064,19,microbialite
ENVO:2000003,19,agricultural wastewater treatment plant
ENVO:01001480,19,domestic building
ENVO:00005759,19,alluvial paddy field soil
ENVO:01000922,18,animal cage
ENVO:00002262,18,clay soil
ENVO:00002238,18,durisol
ENVO:00003068,18,obsolete bovine milk
ENVO:00002246,18,ferralsol
ENVO:04000011,17,bare soil surface layer
ENVO:01000123,17,marine sponge reef biome
ENVO:00006776,17,obsolete animal-associated habitat
ENVO:01001378,16,marine bed
ENVO:00000435,16,proglacial lake
ENVO:00000488,16,glacial lake
ENVO:01000584,16,table
ENVO:01000587,16,piece of furniture
ENVO:03501286,16,calf shed
ENVO:00003041,16,cow shed
ENVO:00003040,16,animal house
ENVO:06105112,15,synthetic plastic
ENVO:00000140,15,drainage ditch
ENVO:00000037,15,ditch
ENVO:03501354,15,steel
ENVO:03501216,15,stainless steel
ENVO:03600018,15,organic horizon
ENVO:01000309,15,cold environment
ENVO:02000138,15,mangrove biome soil
ENVO:00000087,15,cliff
ENVO:03501256,14,sheet of paper
